row_index,url,reason,http_status
11421,www.percymainprimary.org.uk,host_not_exist,
11423,,no_url,
11426,,no_url,
11427,www.pgps.co.uk,http_308,308
11433,www.appletreegardens.org.uk,host_not_exist,
11442,,no_url,
11444,,no_url,
11446,,no_url,
11447,,no_url,
11450,,no_url,
11457,,no_url,
11462,,no_url,
11463,www.christchurchcofe.primary--school.org.uk/,host_not_exist,
11465,,no_url,
11466,,no_url,
11467,,no_url,
11468,,no_url,
11469,,no_url,
11470,,no_url,
11471,,no_url,
11472,,no_url,
11473,,no_url,
11474,,no_url,
11475,,no_url,
11478,,no_url,
11479,,no_url,
11480,,no_url,
11481,,no_url,
11482,,no_url,
11483,,no_url,
11492,,no_url,
11493,,no_url,
11495,,no_url,
11496,,no_url,
11497,,no_url,
11499,,no_url,
11500,,no_url,
11502,,no_url,
11503,,no_url,
11504,www.bentondeneschool.org.uk,host_not_exist,
11505,,no_url,
11506,phs.percyhedley.org.uk,host_not_exist,
11507,,no_url,
11508,,no_url,
11509,,no_url,
11511,,no_url,
11512,,no_url,
11513,,no_url,
11514,,no_url,
11516,,no_url,
11518,,no_url,
11519,,no_url,
11520,,no_url,
11523,,no_url,
11524,,no_url,
11526,,no_url,
11528,,no_url,
11529,,no_url,
11530,,no_url,
11532,,no_url,
11533,,no_url,
11534,,no_url,
11537,www.eastboldoninfants.co.uk,host_not_exist,
11538,,no_url,
11539,,no_url,
11540,,no_url,
11544,,no_url,
11545,,no_url,
11546,,no_url,
11551,,no_url,
11552,,no_url,
11554,,no_url,
11555,,no_url,
11556,,no_url,
11557,,no_url,
11558,,no_url,
11559,,no_url,
11561,,no_url,
11562,,no_url,
11563,,no_url,
11564,,no_url,
11565,,no_url,
11566,,no_url,
11567,,no_url,
11568,,no_url,
11569,,no_url,
11570,,no_url,
11571,,no_url,
11572,,no_url,
11573,,no_url,
11574,,no_url,
11575,,no_url,
11577,,no_url,
11578,,no_url,
11581,,no_url,
11582,,no_url,
11583,,no_url,
11584,,no_url,
11585,,no_url,
11586,,no_url,
11588,,no_url,
11589,,no_url,
11591,,no_url,
11592,,no_url,
11593,,no_url,
11594,,no_url,
11596,,no_url,
11601,,no_url,
11603,,no_url,
11605,,no_url,
11608,,no_url,
11609,,no_url,
11610,,no_url,
11611,,no_url,
11613,,no_url,
11615,www.grindoninfantschoolsunderland.sch.uk,host_not_exist,
11616,,no_url,
11617,,no_url,
11619,,no_url,
11620,,no_url,
11622,,no_url,
11623,,no_url,
11624,,no_url,
11625,,no_url,
11626,,no_url,
11627,,no_url,
11628,,no_url,
11629,,no_url,
11630,,no_url,
11631,,no_url,
11632,www.wwprimary.org.uk,host_not_exist,
11634,,no_url,
11637,,no_url,
11638,,no_url,
11639,,no_url,
11640,,no_url,
11642,,no_url,
11645,,no_url,
11646,,no_url,
11647,,no_url,
11649,,no_url,
11650,,no_url,
11651,,no_url,
11653,,no_url,
11654,,no_url,
11655,,no_url,
11656,,no_url,
11657,,no_url,
11658,,no_url,
11659,,no_url,
11660,,no_url,
11661,,no_url,
11662,,no_url,
11663,,no_url,
11664,,no_url,
11669,,no_url,
11670,,no_url,
11672,,no_url,
11673,,no_url,
11674,,no_url,
11676,,no_url,
11677,www.thorneycloseprimary.org.uk,http_302,302
11678,,no_url,
11680,,no_url,
11683,,no_url,
11685,www.stpaulsryhope.co.uk/,host_not_exist,
11686,,no_url,
11687,,no_url,
11688,,no_url,
11689,,no_url,
11690,,no_url,
11691,,no_url,
11693,,no_url,
11694,,no_url,
11695,,no_url,
11696,,no_url,
11697,,no_url,
11698,,no_url,
11699,,no_url,
11700,,no_url,
11701,,no_url,
11702,,no_url,
11703,,no_url,
11704,,no_url,
11705,,no_url,
11706,,no_url,
11707,,no_url,
11708,,no_url,
11709,,no_url,
11710,,no_url,
11711,,no_url,
11712,,no_url,
11713,,no_url,
11714,,no_url,
11715,,no_url,
11716,,no_url,
11717,,no_url,
11718,,no_url,
11719,,no_url,
11720,,no_url,
11721,,no_url,
11723,,no_url,
11724,,no_url,
11725,,no_url,
11727,,no_url,
11728,,no_url,
11729,,no_url,
11730,,no_url,
11732,,no_url,
11733,,no_url,
11734,,no_url,
11736,,no_url,
11737,,no_url,
11738,,no_url,
11739,,no_url,
11740,,no_url,
11742,www.stphilipsmarshnursery.co.uk,host_not_exist,
11743,www.filtonavenue.org,host_not_exist,
11744,www.littlehayes.org,host_not_exist,
11745,www.ilminsterchildren.com,host_not_exist,
11746,,no_url,
11747,https://centralbristolnurseryschool.com,host_not_exist,
11748,,no_url,
11749,https://littlehayesandspeedwellnurseryschools.co.uk,host_not_exist,
11750,http://www.stpaulschildrenscentre.bristol.sch.uk,host_not_exist,
11751,centralbristolnurseryschool.com,host_not_exist,
11752,,no_url,
11754,https://www.centralbristolnurseryschool.com,host_not_exist,
11756,,no_url,
11757,,no_url,
11758,,no_url,
11761,,no_url,
11762,,no_url,
11763,,no_url,
11764,,no_url,
11765,,no_url,
11766,,no_url,
11767,,no_url,
11771,,no_url,
11772,,no_url,
11773,,no_url,
11774,,no_url,
11775,,no_url,
11776,,no_url,
11777,,no_url,
11778,,no_url,
11779,,no_url,
11781,,no_url,
11782,,no_url,
11783,,no_url,
11784,,no_url,
11785,,no_url,
11786,,no_url,
11787,,no_url,
11788,,no_url,
11789,,no_url,
11790,,no_url,
11791,,no_url,
11792,,no_url,
11793,,no_url,
11794,,no_url,
11795,,no_url,
11796,,no_url,
11797,,no_url,
11798,,no_url,
11799,,no_url,
11800,,no_url,
11801,,no_url,
11802,,no_url,
11803,,no_url,
11804,,no_url,
11806,,no_url,
11807,,no_url,
11808,,no_url,
11811,,no_url,
11812,,no_url,
11814,,no_url,
11816,,no_url,
11817,,no_url,
11818,,no_url,
11820,,no_url,
11821,,no_url,
11822,,no_url,
11823,,no_url,
11825,,no_url,
11826,,no_url,
11827,,no_url,
11828,,no_url,
11830,,no_url,
11831,,no_url,
11833,,no_url,
11834,,no_url,
11835,,no_url,
11836,,no_url,
11837,,no_url,
11838,,no_url,
11839,,no_url,
11840,,no_url,
11841,,no_url,
11842,,no_url,
11843,,no_url,
11844,,no_url,
11845,,no_url,
11846,,no_url,
11847,,no_url,
11848,,no_url,
11849,,no_url,
11850,,no_url,
11851,,no_url,
11852,,no_url,
11853,,no_url,
11854,,no_url,
11855,,no_url,
11857,,no_url,
11858,,no_url,
11859,,no_url,
11860,,no_url,
11861,,no_url,
11862,,no_url,
11864,,no_url,
11865,,no_url,
11866,,no_url,
11867,,no_url,
11868,,no_url,
11869,,no_url,
11870,,no_url,
11871,,no_url,
11873,http://www.hambrook-pri.s-gloucs.sch.uk,host_not_exist,
11875,,no_url,
11876,,no_url,
11880,,no_url,
11881,,no_url,
11882,,no_url,
11883,,no_url,
11884,,no_url,
11885,,no_url,
11886,,no_url,
11887,,no_url,
11888,,no_url,
11890,,no_url,
11891,,no_url,
11892,,no_url,
11893,,no_url,
11894,,no_url,
11897,,no_url,
11899,,no_url,
11900,,no_url,
11901,,no_url,
11902,,no_url,
11904,,no_url,
11905,,no_url,
11906,,no_url,
11907,,no_url,
11908,,no_url,
11909,,no_url,
11910,,no_url,
11911,,no_url,
11912,,no_url,
11913,,no_url,
11914,,no_url,
11915,,no_url,
11916,,no_url,
11917,,no_url,
11918,,no_url,
11919,,no_url,
11920,,no_url,
11921,,no_url,
11922,,no_url,
11923,,no_url,
11924,,no_url,
11925,,no_url,
11926,,no_url,
11927,,no_url,
11928,,no_url,
11929,,no_url,
11930,,no_url,
11931,,no_url,
11932,,no_url,
11933,,no_url,
11934,,no_url,
11935,,no_url,
11936,,no_url,
11937,,no_url,
11939,,no_url,
11940,,no_url,
11942,,no_url,
11943,,no_url,
11944,,no_url,
11945,,no_url,
11946,,no_url,
11947,,no_url,
11948,,no_url,
11949,,no_url,
11950,,no_url,
11951,,no_url,
11952,,no_url,
11953,,no_url,
11954,,no_url,
11955,,no_url,
11956,,no_url,
11957,,no_url,
11958,,no_url,
11960,,no_url,
11961,,no_url,
11963,,no_url,
11964,,no_url,
11968,,no_url,
11969,,no_url,
11970,,no_url,
11971,,no_url,
11972,,no_url,
11973,,no_url,
11974,,no_url,
11975,,no_url,
11976,,no_url,
11977,,no_url,
11978,,no_url,
11980,,no_url,
11981,,no_url,
11983,,no_url,
11984,,no_url,
11985,,no_url,
11986,,no_url,
11987,,no_url,
11988,,no_url,
11990,,no_url,
11991,,no_url,
11993,,no_url,
11994,,no_url,
11996,,no_url,
11997,,no_url,
11998,,no_url,
11999,,no_url,
12000,,no_url,
12001,,no_url,
12002,,no_url,
12003,,no_url,
12004,,no_url,
12005,,no_url,
12013,,no_url,
12016,,no_url,
12021,,no_url,
12022,,no_url,
12023,,no_url,
12029,,no_url,
12032,,no_url,
12033,,no_url,
12034,,no_url,
12035,,no_url,
12036,,no_url,
12037,,no_url,
12038,,no_url,
12039,,no_url,
12040,,no_url,
12041,,no_url,
12042,,no_url,
12043,,no_url,
12044,,no_url,
12045,,no_url,
12046,,no_url,
12047,,no_url,
12048,,no_url,
12049,,no_url,
12050,,no_url,
12051,,no_url,
12052,,no_url,
12053,,no_url,
12054,,no_url,
12055,,no_url,
12056,,no_url,
12057,,no_url,
12058,,no_url,
12059,,no_url,
12060,,no_url,
12061,,no_url,
12062,,no_url,
12063,,no_url,
12064,,no_url,
12065,,no_url,
12066,,no_url,
12067,,no_url,
12068,,no_url,
12069,,no_url,
12070,,no_url,
12071,,no_url,
12072,,no_url,
12073,,no_url,
12074,,no_url,
12075,,no_url,
12076,,no_url,
12079,,no_url,
12080,,no_url,
12081,,no_url,
12082,,no_url,
12083,,no_url,
12084,,no_url,
12085,,no_url,
12086,,no_url,
12087,,no_url,
12088,,no_url,
12089,,no_url,
12090,,no_url,
12091,,no_url,
12095,,no_url,
12097,,no_url,
